Month,NICFI TIF,NICFI JPG,Sentinel-2 TIF,Sentinel-2 JPG
2024-11,0,0,0,0
2024-10,1212,0,0,0
2024-09,1212,1212,0,0
2024-08,1212,1212,0,0
2024-07,1212,1212,3480,0
2024-06,1212,1206,3619,3618
2024-05,1212,1206,3618,3619
2024-04,1212,1206,3618,3619
2024-03,0,1206,3618,3620
2024-02,1212,1206,3618,3621
2024-01,1212,1206,3618,3618
2023-12,1212,0,0,0
2023-11,1212,0,0,0
2023-10,1212,0,0,0
2023-09,0,0,0,0
2023-08,1212,0,0,0
2023-07,1212,0,0,0
2023-06,1212,0,0,0
2023-05,1212,0,0,0
2023-04,1212,0,0,0
2023-03,1212,0,0,0
2023-02,1212,0,0,0
2023-01,1212,0,0,0
2022-12,1212,0,0,0
2022-11,1212,0,0,0
2022-10,1211,0,0,0
2022-09,1212,0,0,0
2022-08,1212,0,0,0
2022-07,1212,0,0,0
2022-06,1212,0,0,0
2022-05,1212,0,0,0
2022-04,1212,0,0,0
2022-03,1212,0,0,0
2022-02,1212,0,0,0
2022-01,1212,0,0,0
2021-12,1212,0,0,0
2021-11,1212,0,0,0
2021-10,1212,0,0,0
2021-09,1212,0,0,0
2021-08,1212,0,0,0
2021-07,1212,0,0,0
2021-06,1212,0,0,0
2021-05,1212,0,0,0
2021-04,1212,0,0,0
2021-03,0,0,0,0
2021-02,0,0,0,0
2021-01,0,0,0,0
