ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
No,4.0,40000.0,No,No,0.15,NUEVO,No,Botadero Tanccama,APURIMAC,LAMBRAMA,741261.0,1709,MUNICIPALIDAD DISTRITAL DE LAMBRAMA,MUNICIPALIDAD DISTRITAL DE LAMBRAMA,8467175.0,1000.0,ABANCAY,No,18
No,0.5,5000.0,No,Si,0.133,NUEVO,No,Botadero Yura Yurac,APURIMAC,PICHIRHUA,709749.0,1711,MUNICIPALIDAD DISTRITAL DE PICHIRHUA,MUNICIPALIDAD DISTRITAL DE PICHIRHUA,8465120.0,320.42,ABANCAY,No,18
No,0.76505,7650.5,No,No,0.0639,NUEVO,No,Botadero Huachaypampa-Llipllina,HUANCAVELICA,ROSARIO,544176.29,1706,MUNICIPALIDAD DISTRITAL DE ROSARIO,MUNICIPALIDAD DISTRITAL DE ROSARIO,8591914.66,420.56,ACOBAMBA,No,18
No,0.17,1761.0,No,Si,0.085,NUEVO,No,Botadero Acco,HUANCAVELICA,AURAHUA,438466.0,1704,MUNICIPALIDAD DISTRITAL DE AURAHUA,MUNICIPALIDAD DISTRITAL DE AURAHUA,8559237.0,199.0,CASTROVIRREYNA,No,18
No,0.02,200.0,No,No,0.066,NUEVO,No,Botadero S/N (Lluta),AREQUIPA,LLUTA,181433.0,1714,MUNICIPALIDAD DISTRITAL DE LLUTA,MUNICIPALIDAD DISTRITAL DE LLUTA,8226067.0,55.0,CAYLLOMA,No,19
No,0.0,0.0,No,No,No precisa,NUEVO,No,Botadero La Quebrada Jarpa,JUNIN,SAN JUAN DE JARPA,454216.17,1702,MUNICIPALIDAD DISTRITAL SAN JUAN DE JARPA,MUNICIPALIDAD DISTRITAL SAN JUAN DE JARPA,48659213.52,0.0,CHUPACA,No,18
Si,0.1,928.0,No,No,14,NUEVO,No,Botadero Shihua,CAJAMARCA,BAMBAMARCA,772834.0,1713,MUNICIPALIDAD PROVINCIAL DE HUALGAYOC,MUNICIPALIDAD PROVINCIAL DE HUALGAYOC,9257003.0,122.0,HUALGAYOC,No,17
No,0.01,100.0,No,No,0.1,NUEVO,No,Botadero Huancoura,AYACUCHO,SANTIAGO DE PISCHA,565109.0,1703,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PISCHA,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PISCHA,8553962.0,0.0,HUAMANGA,No,18
No,1.0,10000.0,No,No,1,NUEVO,No,Botadero Cuytupata,AYACUCHO,TAMBILLO,588633.0,1719,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,8542939.0,0.0,HUAMANGA,No,18
No,0.07,110.0,No,No,No precisa,NUEVO,No,Botadero Portacruz,AYACUCHO,CARAPO,568555.0,1716,MUNICIPALIDAD DISTRITAL DE CARAPO,MUNICIPALIDAD DISTRITAL DE CARAPO,8476029.0,110.0,HUANCA SANCOS,No,18
No,3.7,37000.0,No,No,No precisa,NUEVO,No,Botadero Linderopampa,AYACUCHO,SACSAMARCA,576979.0,1718,MUNICIPALIDAD DISTRITAL DE SACSAMARCA,MUNICIPALIDAD DISTRITAL DE SACSAMARCA,8461931.0,736.0,HUANCA SANCOS,No,18
No,0.0958,0.0,No,No,0.35,NUEVO,No,Botadero Taraco,PUNO,TARACO,395719.0,1720,MUNICIPALIDAD DISTRITAL DE TARACO,MUNICIPALIDAD DISTRITAL DE TARACO,8308599.0,184.0,HUANCANE,No,19
No,0.8,8000.0,No,No,0.143,Recuperación,No,Botadero Sector Cochabamba,Junin,Pucara,491751.0,1743,MUNICIPALIDAD DISTRITAL DE PAZOS,Municipalidad Distrital de Pazos,8647581.0,0.0,Huancayo,No,18
No,0.0,0.0,No,No,No precisa,Reconversión,No,Botadero Conostoco II,TACNA,LOCUMBA,313994.0,1782,MUNICIPALIDAD PROVINCIAL JORGE BASADRE,No precisa,8053032.0,0.0,JORGE BASADRE,No,19
